Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,473.500000,475.799988,466.149994,468.149994,467.259979,5983810
2020-07-02,468.000000,474.950012,467.950012,473.000000,472.100769,3731827
2020-07-03,477.000000,479.350006,472.000000,476.850006,475.943451,4666364
2020-07-06,478.000000,481.250000,471.399994,480.200012,479.287079,5995257
2020-07-07,480.000000,486.000000,476.149994,479.250000,478.338867,6793452
2020-07-08,482.549988,488.000000,479.950012,482.500000,481.582703,6279449
2020-07-09,484.549988,487.200012,480.350006,481.950012,481.033752,3184268
2020-07-10,484.649994,498.899994,483.049988,493.899994,492.961029,14898919
2020-07-13,495.000000,501.700012,492.299988,499.700012,498.750000,7504299
2020-07-14,500.000000,503.899994,490.100006,492.100006,491.164459,6996801
2020-07-15,494.200012,499.399994,492.200012,495.100006,494.158752,4710170
2020-07-16,496.000000,505.950012,490.600006,499.700012,498.750000,11263548
2020-07-17,499.600006,509.549988,497.350006,503.600006,502.642578,9592466
2020-07-20,501.899994,501.899994,481.600006,483.799988,482.880219,16111398
2020-07-21,488.000000,488.200012,475.000000,477.250000,476.342682,8470749
2020-07-22,479.649994,488.000000,471.600006,474.299988,473.398285,9848007
2020-07-23,477.950012,481.850006,474.049988,476.000000,475.095062,5416291
2020-07-24,490.000000,497.799988,481.250000,485.600006,484.676819,19812185
2020-07-27,484.850006,487.600006,469.000000,475.500000,474.596008,6112617
2020-07-28,475.500000,483.750000,473.250000,482.600006,481.682526,5917155
2020-07-29,485.700012,496.299988,484.149994,493.000000,492.062744,8531803
2020-07-30,493.200012,513.200012,487.299988,509.950012,508.980530,17534819
2020-07-31,514.250000,541.000000,507.500000,531.700012,530.689148,41253676
